person_id,visits_w1,day_range_w1,active_days_w1,count_domains_w1,visits_w2,day_range_w2,active_days_w2,count_domains_w2
24-great-bees-ran-loudly,0,0,0,0,6694,63,58,457
25-deep-ferrets-cried-easily,25454,57,57,1001,15855,54,54,641
30-warm-butterflies-floundered-merrily,8649,91,89,689,3978,50,48,337
29-exciting-oysters-loitered-patiently,2119,84,47,256,1056,41,11,134
13-light-frogs-ran-easily,0,0,0,0,3912,37,35,144
16-proud-hedgehogs-kissed-cordially,0,0,0,0,3323,32,25,249
18-hungry-cockles-kissed-fast,0,0,0,0,8482,28,28,445
33-short-ducks-floundered-easily,4248,80,70,280,4018,22,22,197
13-famous-pigs-married-patiently,14259,91,59,603,1199,19,5,104
11-warm-platypuses-fought-carefully,0,0,0,0,2671,19,18,189
24-sad-pigeons-walked-cordially,2621,14,14,189,3,1,1,2
7-clean-dragonflies-sat-fast,0,0,0,0,5957,16,17,277
20-sad-bats-loitered-jovially,1645,9,10,75,2873,14,12,65
25-full-doves-played-patiently,0,0,0,0,1721,8,9,110
30-cool-chickens-drove-quickly,2186,82,38,168,438,7,4,47
10-cool-starlings-snuggled-jovially,17643,41,41,736,0,0,0,0
10-heavy-gerbils-married-fast,32784,90,91,896,0,0,0,0
10-heavy-salmons-hid-correctly,5294,87,66,303,0,0,0,0
10-lazy-platypuses-danced-patiently,17831,91,91,415,0,0,0,0
