"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","page_center_w1","page_left_w1","page_right_w1","page_center_w2","page_left_w2","page_right_w2","domain_center_w1","domain_left_w1","domain_right_w1","domain_center_w2","domain_left_w2","domain_right_w2","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","page_center_mean_w2","page_left_mean_w2","page_right_mean_w2","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","page_center_perc_w2","page_left_perc_w2","page_right_perc_w2","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1","domain_center_perc_w2","domain_left_perc_w2","domain_right_perc_w2"
"11-bitter-rooks-whispered-eagerly",2047,82,82,192,12050,59,60,589,44,39,2,135,64,10,44,39,2,236,157,11,0.536585365853659,0.475609756097561,0.024390243902439,2.25,1.06666666666667,0.166666666666667,0.536585365853659,0.475609756097561,0.024390243902439,3.93333333333333,2.61666666666667,0.183333333333333,0.021494870542257,0.0190522716170005,0.000977039570102589,0.0112033195020747,0.00531120331950207,0.000829875518672199,0.021494870542257,0.0190522716170005,0.000977039570102589,0.0195850622406639,0.0130290456431535,0.000912863070539419
"11-clean-pheasants-hugged-fast",5653,91,89,308,5031,86,75,353,17,14,6,17,7,8,17,14,6,22,7,8,0.191011235955056,0.157303370786517,0.0674157303370786,0.226666666666667,0.0933333333333333,0.106666666666667,0.191011235955056,0.157303370786517,0.0674157303370786,0.293333333333333,0.0933333333333333,0.106666666666667,0.00300725278613126,0.00247656111799045,0.00106138333628162,0.0033790498906778,0.00139137348439674,0.00159014112502485,0.00300725278613126,0.00247656111799045,0.00106138333628162,0.00437288809381833,0.00139137348439674,0.00159014112502485
"11-fat-rooks-drove-quickly",13663,91,92,707,14517,84,83,672,207,58,17,162,23,19,209,65,17,440,24,19,2.25,0.630434782608696,0.184782608695652,1.95180722891566,0.27710843373494,0.228915662650602,2.27173913043478,0.706521739130435,0.184782608695652,5.30120481927711,0.289156626506024,0.228915662650602,0.0151504062065432,0.004245041352558,0.00124423625850838,0.0111593304401736,0.00158434938348144,0.00130881036026727,0.0152967869428383,0.00475737392959087,0.00124423625850838,0.0303092925535579,0.00165323413928498,0.00130881036026727
"11-high-butterflies-hopped-jovially",2790,91,88,201,1371,87,83,163,91,18,2,16,22,2,212,22,2,62,30,2,1.03409090909091,0.204545454545455,0.0227272727272727,0.192771084337349,0.265060240963855,0.0240963855421687,2.40909090909091,0.25,0.0227272727272727,0.746987951807229,0.36144578313253,0.0240963855421687,0.0326164874551971,0.00645161290322581,0.000716845878136201,0.0116703136396791,0.0160466812545587,0.00145878920495988,0.0759856630824373,0.00788530465949821,0.000716845878136201,0.0452224653537564,0.0218818380743982,0.00145878920495988
"11-lucky-spiders-cried-cordially",8848,90,77,792,1860,83,34,223,42,30,0,5,4,1,52,31,0,137,5,1,0.545454545454545,0.38961038961039,0,0.147058823529412,0.117647058823529,0.0294117647058824,0.675324675324675,0.402597402597403,0,4.02941176470588,0.147058823529412,0.0294117647058824,0.00474683544303797,0.00339059674502712,0,0.00268817204301075,0.0021505376344086,0.000537634408602151,0.00587703435804702,0.00350361663652803,0,0.0736559139784946,0.00268817204301075,0.000537634408602151
"11-old-platypuses-talked-eagerly",9695,90,72,340,2519,82,32,130,10,14,0,8,3,0,10,15,0,8,4,0,0.138888888888889,0.194444444444444,0,0.25,0.09375,0,0.138888888888889,0.208333333333333,0,0.25,0.125,0,0.00103145951521403,0.00144404332129964,0,0.00317586343787217,0.00119094878920206,0,0.00103145951521403,0.00154718927282104,0,0.00317586343787217,0.00158793171893609,0
"12-bad-kingfishers-cuddled-easily",10508,89,47,591,3854,83,60,262,122,111,528,7,36,17,607,442,3273,39,111,215,2.59574468085106,2.36170212765957,11.2340425531915,0.116666666666667,0.6,0.283333333333333,12.9148936170213,9.40425531914894,69.6382978723404,0.65,1.85,3.58333333333333,0.0116102017510468,0.0105633802816901,0.0502474305291207,0.00181629475869227,0.00934094447327452,0.00441100155682408,0.0577655119908641,0.0420631899505139,0.311476969927674,0.0101193565127141,0.0288012454592631,0.0557861961598339
"12-dead-platypuses-played-carefully",33245,91,92,732,28739,89,84,573,29,7,10,17,22,8,29,7,10,18,22,8,0.315217391304348,0.0760869565217391,0.108695652173913,0.202380952380952,0.261904761904762,0.0952380952380952,0.315217391304348,0.0760869565217391,0.108695652173913,0.214285714285714,0.261904761904762,0.0952380952380952,0.000872311625808392,0.000210557978643405,0.000300797112347721,0.000591530672605171,0.000765510282194927,0.00027836737534361,0.000872311625808392,0.000210557978643405,0.000300797112347721,0.000626326594523122,0.000765510282194927,0.00027836737534361
"12-deep-sparrows-kissed-cordially",3570,91,67,196,10313,85,68,533,14,46,0,115,238,10,14,48,0,116,250,10,0.208955223880597,0.686567164179104,0,1.69117647058824,3.5,0.147058823529412,0.208955223880597,0.716417910447761,0,1.70588235294118,3.67647058823529,0.147058823529412,0.00392156862745098,0.0128851540616246,0,0.0111509744982061,0.0230776689615049,0.000969649956365752,0.00392156862745098,0.0134453781512605,0,0.0112479394938427,0.0242412489091438,0.000969649956365752
"12-fresh-trouts-sat-correctly",6409,14,15,449,3490,16,17,335,17,0,21,3,1,0,26,1,34,14,1,7,1.13333333333333,0,1.4,0.176470588235294,0.0588235294117647,0,1.73333333333333,0.0666666666666667,2.26666666666667,0.823529411764706,0.0588235294117647,0.411764705882353,0.0026525198938992,0,0.00327664222187549,0.000859598853868195,0.000286532951289398,0,0.00405679513184584,0.000156030581994071,0.00530503978779841,0.00401146131805158,0.000286532951289398,0.00200573065902579
