"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","page_center_w1","page_left_w1","page_right_w1","domain_center_w1","domain_left_w1","domain_right_w1","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1"
"10-large-robins-danced-quickly",8461,91,87,530,11,6,3,11,7,3,0.126436781609195,0.0689655172413793,0.0344827586206897,0.126436781609195,0.0804597701149425,0.0344827586206897,0.00130008273253753,0.000709136035929559,0.00035456801796478,0.00130008273253753,0.000827325375251152,0.00035456801796478
"10-lazy-platypuses-danced-patiently",17831,91,91,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-light-snails-walked-correctly",19290,91,92,1254,2,0,0,3,1,0,0.0217391304347826,0,0,0.0326086956521739,0.0108695652173913,0,0.000103680663556247,0,0,0.00015552099533437,5.18403317781234e-05,0
"10-long-hares-whispered-patiently",4648,91,58,270,8,27,0,8,27,0,0.137931034482759,0.46551724137931,0,0.137931034482759,0.46551724137931,0,0.00172117039586919,0.00580895008605852,0,0.00172117039586919,0.00580895008605852,0
"10-polite-goats-talked-easily",14516,90,84,630,572,28,10,2410,36,10,6.80952380952381,0.333333333333333,0.119047619047619,28.6904761904762,0.428571428571429,0.119047619047619,0.0394047947092863,0.00192890603472031,0.00068889501240011,0.166023697988427,0.0024800220446404,0.00068889501240011
"10-safe-starlings-ran-carefully",6014,40,38,300,44,32,6,49,37,6,1.15789473684211,0.842105263157895,0.157894736842105,1.28947368421053,0.973684210526316,0.157894736842105,0.00731626205520452,0.00532091785833056,0.00099767209843698,0.00814765547056867,0.00615231127369471,0.00099767209843698
"10-salty-snails-whimpered-correctly",2197,23,24,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-soft-snakes-played-easily",6369,15,15,101,0,0,1,0,0,1,0,0,0.0666666666666667,0,0,0.0666666666666667,0,0,0.00015701051970482,0,0,0.00015701051970482
"10-warm-rabbits-listened-cordially",712,4,5,97,1,0,0,10,0,0,0.2,0,0,2,0,0,0.00140449438202247,0,0,0.0140449438202247,0,0
"10-whole-clams-jumped-fast",67,86,9,16,8,4,0,8,6,0,0.888888888888889,0.444444444444444,0,0.888888888888889,0.666666666666667,0,0.119402985074627,0.0597014925373134,0,0.119402985074627,0.0895522388059701,0
"10-whole-trouts-played-loudly",7525,91,70,483,9,16,5,9,16,5,0.128571428571429,0.228571428571429,0.0714285714285714,0.128571428571429,0.228571428571429,0.0714285714285714,0.00119601328903654,0.00212624584717608,0.000664451827242525,0.00119601328903654,0.00212624584717608,0.000664451827242525
"11-able-swans-sat-fast",11091,91,91,561,3,4,0,3,6,0,0.032967032967033,0.043956043956044,0,0.032967032967033,0.0659340659340659,0,0.000270489586150933,0.000360652781534578,0,0.000270489586150933,0.000540979172301866,0
"11-bitter-lobsters-kissed-loudly",2620,12,11,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-bitter-rooks-whispered-eagerly",2047,82,82,192,44,39,2,44,39,2,0.536585365853659,0.475609756097561,0.024390243902439,0.536585365853659,0.475609756097561,0.024390243902439,0.021494870542257,0.0190522716170005,0.000977039570102589,0.021494870542257,0.0190522716170005,0.000977039570102589
"11-clean-pheasants-hugged-fast",5653,91,89,308,17,14,6,17,14,6,0.191011235955056,0.157303370786517,0.0674157303370786,0.191011235955056,0.157303370786517,0.0674157303370786,0.00300725278613126,0.00247656111799045,0.00106138333628162,0.00300725278613126,0.00247656111799045,0.00106138333628162
"11-clear-mice-knitted-eagerly",3897,90,90,258,18,3,3,21,3,3,0.2,0.0333333333333333,0.0333333333333333,0.233333333333333,0.0333333333333333,0.0333333333333333,0.0046189376443418,0.000769822940723634,0.000769822940723634,0.00538876058506543,0.000769822940723634,0.000769822940723634
"11-dark-clams-walked-correctly",2870,13,14,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-fair-guinea-pigs-walked-merrily",3165,90,84,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
